sgg_cd,sgg_cd1,sgg_cd2,sgg_cd3,sgg_cd4,sido_nm,sgg_nm,dong_nm,ri_nm
5000000000,50,,,,제주특별자치도,,,
5011000000,50,110,,,제주특별자치도,제주시,,
5011010100,50,110,101,00,제주특별자치도,제주시,일도일동,
5011010200,50,110,102,00,제주특별자치도,제주시,일도이동,
5011010300,50,110,103,00,제주특별자치도,제주시,이도일동,
5011010400,50,110,104,00,제주특별자치도,제주시,이도이동,
5011010500,50,110,105,00,제주특별자치도,제주시,삼도일동,
5011010600,50,110,106,00,제주특별자치도,제주시,삼도이동,
5011010700,50,110,107,00,제주특별자치도,제주시,건입동,
5011010800,50,110,108,00,제주특별자치도,제주시,용담일동,
5011010900,50,110,109,00,제주특별자치도,제주시,용담이동,
5011011000,50,110,110,00,제주특별자치도,제주시,용담삼동,
5011011100,50,110,111,00,제주특별자치도,제주시,화북일동,
5011011200,50,110,112,00,제주특별자치도,제주시,화북이동,
5011011300,50,110,113,00,제주특별자치도,제주시,삼양일동,
5011011400,50,110,114,00,제주특별자치도,제주시,삼양이동,
5011011500,50,110,115,00,제주특별자치도,제주시,삼양삼동,
5011011600,50,110,116,00,제주특별자치도,제주시,봉개동,
5011011700,50,110,117,00,제주특별자치도,제주시,아라일동,
5011011800,50,110,118,00,제주특별자치도,제주시,아라이동,
5011011900,50,110,119,00,제주특별자치도,제주시,오라일동,
5011012000,50,110,120,00,제주특별자치도,제주시,오라이동,
5011012100,50,110,121,00,제주특별자치도,제주시,오라삼동,
5011012200,50,110,122,00,제주특별자치도,제주시,노형동,
5011012300,50,110,123,00,제주특별자치도,제주시,외도일동,
5011012400,50,110,124,00,제주특별자치도,제주시,외도이동,
5011012500,50,110,125,00,제주특별자치도,제주시,이호일동,
5011012600,50,110,126,00,제주특별자치도,제주시,이호이동,
5011012700,50,110,127,00,제주특별자치도,제주시,도두일동,
5011012800,50,110,128,00,제주특별자치도,제주시,도두이동,
5011012900,50,110,129,00,제주특별자치도,제주시,도남동,
5011013000,50,110,130,00,제주특별자치도,제주시,도련일동,
5011013100,50,110,131,00,제주특별자치도,제주시,도련이동,
5011013200,50,110,132,00,제주특별자치도,제주시,용강동,
5011013300,50,110,133,00,제주특별자치도,제주시,회천동,
5011013400,50,110,134,00,제주특별자치도,제주시,오등동,
5011013500,50,110,135,00,제주특별자치도,제주시,월평동,
5011013600,50,110,136,00,제주특별자치도,제주시,영평동,
5011013700,50,110,137,00,제주특별자치도,제주시,연동,
5011013800,50,110,138,00,제주특별자치도,제주시,도평동,
5011013900,50,110,139,00,제주특별자치도,제주시,해안동,
5011014000,50,110,140,00,제주특별자치도,제주시,내도동,
5011025000,50,110,250,00,제주특별자치도,제주시,한림읍,
5011025021,50,110,250,21,제주특별자치도,제주시,한림읍,귀덕리
5011025022,50,110,250,22,제주특별자치도,제주시,한림읍,수원리
5011025023,50,110,250,23,제주특별자치도,제주시,한림읍,대림리
5011025024,50,110,250,24,제주특별자치도,제주시,한림읍,한림리
5011025025,50,110,250,25,제주특별자치도,제주시,한림읍,금악리
5011025026,50,110,250,26,제주특별자치도,제주시,한림읍,동명리
5011025027,50,110,250,27,제주특별자치도,제주시,한림읍,명월리
5011025028,50,110,250,28,제주특별자치도,제주시,한림읍,옹포리
5011025029,50,110,250,29,제주특별자치도,제주시,한림읍,상대리
5011025030,50,110,250,30,제주특별자치도,제주시,한림읍,상명리
5011025031,50,110,250,31,제주특별자치도,제주시,한림읍,협재리
5011025032,50,110,250,32,제주특별자치도,제주시,한림읍,월령리
5011025033,50,110,250,33,제주특별자치도,제주시,한림읍,금능리
5011025034,50,110,250,34,제주특별자치도,제주시,한림읍,월림리
5011025035,50,110,250,35,제주특별자치도,제주시,한림읍,한수리
5011025300,50,110,253,00,제주특별자치도,제주시,애월읍,
