travel_id,visit_area_id,activity_type_cd,activity_type_seq,activity_etc,activity_dtl,rsvt_yn,expnd_se,admission_se
g_g005682,2308280004,1,0,,더블버거+베이컨 추가;치즈버거;스프라이트,N,1,
g_g005682,2308280005,1,0,,제주보리개역;캐모마일티,Y,1,
g_g005682,2308280006,1,0,,정육 2인분;된장찌개+밥,Y,1,
g_g005682,2308290002,1,0,,흑돼지 오믈렛라이스;가츠산도,N,1,
g_g005682,2308290004,1,0,,풋귤 에이드;카페라떼,N,1,
g_g005682,2308290005,1,0,,알오리지네 피자;인살라타 샐러드,Y,1,
g_g005682,2308290007,1,0,,흑돼지한마리;공기밥;된장찌개;흑돼지라면,Y,1,
g_g005682,2308290008,1,0,,초코바나나빽스치노;초코빽스치노,Y,4,
g_g005682,2308300002,1,0,,고기국수,N,1,
g_g005682,2308300003,1,0,,감귤착즙주스,Y,1,
g_g005682,2308300004,2,0,,기념품,N,5,
g_g005682,2308300003,2,1,,제주 특산품,N,5,
g_g005682,2308280007,3,1,,아르떼뮤지엄 전시관 작품 관람,N,1,2
g_g005682,2308290003,3,1,,천제연폭포 관람,N,5,2
g_g005682,2308280007,4,0,,,,,
g_g005682,2308280008,4,0,,,,,
g_g005682,2308290003,4,2,,,,,
g_g005682,2308300003,4,3,,,,,
g_g005682,2308280009,5,0,,,,,
g_g005682,2308290001,5,0,,,,,
g_g005682,2308290006,5,0,,,,,
g_g005682,2308290004,5,1,,,,,
g_g005682,2308290008,5,1,,,,,
g_g005682,2308280005,5,2,,,,,
g_g005682,2308280008,6,1,,폭우가 쏟아져서 구경을 못하고 돌아옴,N,1,
g_g005682,2308280003,7,0,,,,,
h_h000001,2304300001,1,0,,돈까스,N,1,
h_h000001,2305010004,1,0,,한라산볶음밥,N,1,
h_h000001,2305010005,1,0,,커피;케잌,N,1,
h_h000001,2305010004,1,1,,땅콩아이스크림,N,1,
h_h000001,2305020002,1,1,,순두부;제육,N,1,
h_h000001,2304300004,2,0,,바베큐를 위한 식품 구입,N,1,
h_h000001,2304300004,2,1,,간식구입,N,5,
h_h000001,2304300002,4,0,,,,,
h_h000001,2304300003,4,0,,,,,
h_h000001,2305020002,4,0,,,,,
h_h000001,2305010005,4,1,,,,,
h_h000001,2305010003,4,2,,,,,
h_h000001,2304290004,5,0,,,,,
h_h000001,2304300005,5,0,,,,,
h_h000001,2305010001,5,0,,,,,
h_h000001,2305010005,5,2,,,,,
h_h000001,2304290003,7,0,,,,,
h_h000001,2305010002,7,0,,,,,
h_h000001,2305020002,7,2,,,,,
h_h000008,2306060006,1,0,,전복낙지갈비찜(2인)+공기밥2+날치알볶음밥1,N,1,
h_h000008,2306060007,1,0,,아이스아메리카노 핫아메+헤이즐넛시럽 말차프라푸치노,N,1,
h_h000008,2306070001,1,0,,단소정식 3인,N,1,
h_h000008,2306070005,1,0,,돝밭세트(흑오겹;흑목살)계란찜 공기밥2,Y,1,
h_h000008,2306070006,1,0,,아이스아메리카노 핫아메리카노 말차프라푸치노,N,1,
h_h000008,2306080002,1,0,,그날정식3인,N,1;2,
h_h000008,2306080003,1,0,,아이스아메리카노 쿠키프라페 핫아메리카노,N,1,
h_h000008,2306080006,1,0,,문어해초비빔밥 안심카츠세트,Y,1,
h_h000008,2306060008,2,0,,멸치칼국수 샤워수수캉젤리 포카칩  새우깡 쥐포,N,1,
h_h000008,2306080002,2,1,,만주구매,N,1,
h_h000008,2306080006,2,2,,국산 외산담배,N,1,
h_h000008,2306070003,3,0,,설문대할망 소원빌기체험 및 선운정사 내부관람,N,5,1
h_h000008,2306070002,4,0,,,,,
h_h000008,2306080004,4,0,,,,,
h_h000008,2306080005,4,0,,,,,
h_h000008,2306060002,5,1,,,,,
h_h000008,2306070004,6,0,,수영,N,5,
h_h000008,2306070002,6,1,,주유(LPG),N,1,
h_h000008,2306070007,6,2,,편의점방문 구매,N,1,
h_h000008,2306060004,7,0,,,,,
h_h000008,2306060005,7,0,,,,,
h_h000008,2306080006,7,1,,,,,
h_h000009,2305180004,1,0,,보말칼국수 2;매생이바당전 1,N,1,
h_h000009,2305180009,1,0,,커피 2잔,Y,1,
h_h000009,2305190006,1,0,,고등어쌈밥 2인;막걸리 1통 공기밥,Y,1,
h_h000009,2305200001,1,0,,해장국 1  내장탕1,N,1,
h_h000009,2305200004,1,0,,마농갈비 2 생갈비 1 한라산 1,N,1,
h_h000009,2305200005,1,0,,크림짬뽕 고등어김초밥 소주 맥주,N,1,
h_h000009,2305200006,1,0,,고마사바  고구마 약주 맥주,Y,1,
h_h000009,2305210001,1,0,,곰탕 2개,Y,1,
h_h000009,2305210003,1,0,,밀면;수육;고기국수;막걸리,Y,1,
h_h000009,2305180006,2,0,,관광 기념품 아이쇼핑,N,5,
h_h000009,2305190004,2,0,,컵;그릇,N,1,
h_h000009,2305210002,2,0,,기념품 아이쇼핑,N,5,
h_h000009,2305180008,2,1,,고등어회 포장-숙소에서 먹음,N,1,
h_h000009,2305180006,2,2,,이동 중 오는정 김밥 취소 김밥 구매,N,1,
h_h000009,2305180010,2,2,,딱새우회 포장,N,1,
h_h000009,2305180007,3,0,,엉또폭포 구경,N,5,2
h_h000009,2305190005,3,0,,카트체험,N,1,1
h_h000009,2305200002,3,2,,등산,Y,5,2
h_h000009,2305190002,3,4,,온천,Y,1,1
h_h000009,2305180005,4,0,,,,,
h_h000009,2305190003,4,0,,,,,
h_h000009,2305190001,4,1,,,,,
h_h000009,2305180011,5,0,,,,,
h_h000009,2305190007,5,0,,,,,
h_h000009,2305200003,5,1,,,,,
