dataset,contentid,contenttypeid,title,addr1,addr2,areacode,cat1,cat2,cat3,common_addr1,common_addr2,common_areacode,common_cat1,common_cat2,common_cat3,common_cpyrhtDivCd,common_createdtime,common_fetch_error,common_fetch_status,common_fetched_at,common_firstimage,common_firstimage2,common_homepage,common_lDongRegnCd,common_lDongSignguCd,common_lclsSystm1,common_lclsSystm2,common_lclsSystm3,common_mapx,common_mapy,common_mlevel,common_modifiedtime,common_overview,common_sigungucode,common_tel,common_telname,common_title,common_zipcode,cpyrhtDivCd,createdtime,firstimage,firstimage2,intro_accomcount,intro_accomcountculture,intro_accomcountleports,intro_accomcountlodging,intro_barbecue,intro_beauty,intro_beverage,intro_bicycle,intro_campfire,intro_checkintime,intro_checkouttime,intro_chkbabycarriage,intro_chkbabycarriageculture,intro_chkbabycarriageleports,intro_chkbabycarriageshopping,intro_chkcooking,intro_chkcreditcard,intro_chkcreditcardculture,intro_chkcreditcardfood,intro_chkcreditcardleports,intro_chkcreditcardshopping,intro_chkpet,intro_chkpetculture,intro_chkpetleports,intro_chkpetshopping,intro_culturecenter,intro_discountinfo,intro_discountinfofood,intro_expagerange,intro_expagerangeleports,intro_expguide,intro_fairday,intro_fetch_error,intro_fetch_status,intro_fetched_at,intro_firstmenu,intro_fitness,intro_foodplace,intro_heritage1,intro_heritage2,intro_heritage3,intro_infocenter,intro_infocenterculture,intro_infocenterfood,intro_infocenterleports,intro_infocenterlodging,intro_infocentershopping,intro_karaoke,intro_kidsfacility,intro_lcnsno,intro_opendate,intro_opendatefood,intro_opendateshopping,intro_openperiod,intro_opentime,intro_opentimefood,intro_packing,intro_parking,intro_parkingculture,intro_parkingfee,intro_parkingfeeleports,intro_parkingfood,intro_parkingleports,intro_parkinglodging,intro_parkingshopping,intro_pickup,intro_publicbath,intro_publicpc,intro_refundregulation,intro_reservation,intro_reservationfood,intro_reservationlodging,intro_reservationurl,intro_restdate,intro_restdateculture,intro_restdatefood,intro_restdateleports,intro_restdateshopping,intro_restroom,intro_roomcount,intro_roomtype,intro_saleitem,intro_saleitemcost,intro_sauna,intro_scale,intro_scalefood,intro_scaleleports,intro_scalelodging,intro_scaleshopping,intro_seat,intro_seminar,intro_shopguide,intro_smoking,intro_spendtime,intro_sports,intro_subfacility,intro_treatmenu,intro_usefee,intro_usefeeleports,intro_useseason,intro_usetime,intro_usetimeculture,intro_usetimeleports,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,zipcode
tourism,1884191,12,가마오름,제주특별자치도 제주시 한경면 청수리,1205,39,A01,A0101,A01010400,제주특별자치도 제주시 한경면 청수리,1205,39,A01,A0101,A01010400,Type3,20140113184533,,success,,http://tong.visitkorea.or.kr/cms/resource/72/3477972_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/3477972_image3_1.jpg,"<a href=""https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500011"" target=""_blank"" title=""새창 : 제주 문화관광 사이트로 이동"">http://www.visitjeju.net/</a>",50,110,NA,NA01,NA010100,126.2466098987,33.3057279944,6,20250430134222,"제주시 한경면 수룽이마을 뒷산으로 마을 남동쪽 약 500m 지점에 있는 오름이다. 수룡동 마을안길로 들어가면 쉽게 오를 수 있다. 오름산모양이 가마솥을 엎어 놓은 모양과 같이 생겼다 하여 가마오름이라 부르고 있으나, 학자들의 어원적 해석에 의하면 가마는 감에서 나온 것이고, 감은 북방어로 신 또는 신성하고 거룩하다는 뜻으로 해석하고 있다. 즉, 가마오름은 신령스러운 산이라는 뜻으로 풀이하고 있다. 주봉인 남쪽 봉우리를 중심으로 북쪽으로 뻗은 등성마루에는 언덕 같은 봉우리가 솟아 있고, 완만한 동사면은 북동쪽으로 말굽형 화구를 이루며 얕고 넓게 벌어져 있으며 붉은 송이로 이루어져 있다. 해송과 잡목이 어우러져 숲을 이루고 있으며, 풀밭에는 술패렝이꽃이 여기저기 보인다. 이 오름에는 일제 강점기 때 일본군이 주둔했던 곳으로, 지금도 인공적으로 파인 수직굴이 여러 개 산재해 있다.",4,,,가마오름,63007,Type3,20140113184533,http://tong.visitkorea.or.kr/cms/resource/72/3477972_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/3477972_image3_1.jpg,,,,,,,,,,,,없음,,,,,없음,,,,,,,,,,,,,,,,,success,2026-07-13T03:28:47.149982+00:00,,,,0,0,0,제주시 관광정보센터 064-740-6000,,,,,,,,,,,,,,,,불가능,,,,,,,,,,,,,,,,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,※ 일부 출입이 제한되거나 통제되므로 방문 시 전화문의 요망,,,50,110,NA,NA01,NA010100,126.2466098987,33.3057279944,6,20250430134222,4,,63007
tourism,1884505,12,가문이오름(감은이오름),제주특별자치도 서귀포시 표선면 가시리,,39,A01,A0101,A01010400,제주특별자치도 서귀포시 표선면 가시리,,39,A01,A0101,A01010400,Type3,20140114192329,,success,,http://tong.visitkorea.or.kr/cms/resource/92/3477392_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/3477392_image3_1.jpg,"<a href=""https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500013"" target=""_blank"" title=""새창 : 제주 문화관광 사이트로 이동"">http://www.visitjeju.net/</a>",50,130,NA,NA01,NA010100,126.6876111209,33.4018299117,6,20250522111143,"가문이오름은 제주특별자치도 제주시 구좌읍 송당리에 있는 봉우리이며, 성불오름 바로 서쪽에 나지막하게 자리한 오름을 이른다. 붉은오름과 마주하고 있는 이곳은 오름의 중턱에 삼나무와 해송이 숲이 우거져 있으며 그 위로는 낙엽수림이 있다. 가문이오름이란 이름은 숲이 우거져 검게 보인다고 하여 지어진 것이다. 말굽형 분화구 모양인 오름에는 흰 노루귀, 분홍 노루귀 등의 생소한 야생화가 자라고 있으며, 분화구 내에 울창한 숲이 음산한 기운을 띠고 있어 신령스러운 산이라는 의미도 있다. 붉은오름뿐만 아니라 구두리오름, 쳇망오름 등 여러 오름과 함께 오름 군락도 형성되어 같이 둘러보기에 좋다. 근처 가 볼 만한 곳으로는 물영아리오름, 부영컨드리클럽이 있다.",3,,,가문이오름(감은이오름),63623,Type3,20140114192329,http://tong.visitkorea.or.kr/cms/resource/92/3477392_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/3477392_image3_1.jpg,,,,,,,,,,,,없음,,,,,없음,,,,,,,,,,,,,,,,,success,2026-07-13T03:28:47.252508+00:00,,,,0,0,0,064-760-2913,,,,,,,,,,,,,,,,불가능,,,,,,,,,,,,,,,,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,※ 일부 통제될 수 있으므로 방문 시 전화문의 요망,,,50,130,NA,NA01,NA010100,126.6876111209,33.4018299117,6,20250522111143,3,,63623
tourism,1884521,12,가새기오름,제주특별자치도 제주시 오라삼동,2848,39,A01,A0101,A01010400,제주특별자치도 제주시 오라삼동,2848,39,A01,A0101,A01010400,Type3,20140114193335,,success,,http://tong.visitkorea.or.kr/cms/resource/82/3477882_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/3477882_image3_1.jpg,"<a href=""https://www.visitjeju.net/kr""새창 : 제주 문화관광 사이트로 이동"">https://www.visitjeju.net/kr</a>",50,110,NA,NA01,NA010100,126.5038611983,33.4893700755,6,20251230161028,"가새기오름은 오라동 연미마을 북서쪽에 가로누운 자그마한 화구 없는 원추형 화산체로서, 남북으로 긴 등성이에 해송이 우거져 숲을 이루고 있다. 풍수설에 의하면 이 오름 남쪽에 있는 민오름이 개의 형국이고, 그 밑에 있는 이 오름은 어미개에 딸린 강아지의 형국이라는 것에서 [개새끼오름]이라 불리고 있다. 어미개와 강아지가 어울린 모습에 개의 젖가슴을 상징하는 지세라 하여 북서쪽 오름 자락은 예로부터 길지로 꼽혀왔다고 한다.",4,,,가새기오름,63148,Type3,20140114193335,http://tong.visitkorea.or.kr/cms/resource/82/3477882_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/3477882_image3_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,success,2026-07-13T03:28:47.617262+00:00,,,,0,0,0,제주관광정보센터 064-740-6000,,,,,,,,,,,,,,,,불가능,,,,,,,,,,,,,,,,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,상시 개방,,,50,110,NA,NA01,NA010100,126.5038611983,33.4893700755,6,20251230161028,4,,63148
tourism,1885746,12,가세오름,제주특별자치도 서귀포시 표선면 녹산로 554,,39,A01,A0101,A01010400,제주특별자치도 서귀포시 표선면 녹산로 554,,39,A01,A0101,A01010400,Type3,20140116182858,,success,,http://tong.visitkorea.or.kr/cms/resource/61/3477261_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/3477261_image3_1.jpg,"<a href=""https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500015"" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://www.visitjeju.net</a>",50,130,NA,NA01,NA010100,126.7231832338,33.3931758821,6,20250520165953,"가세는 제주도 방언으로 가위라는 뜻을 의미한다. 표선면에 위치한 가세오름은 산봉우리가 두 갈래로 나누어진 말굽형의 오름이다. 또한 오름의 형태가 가위처럼 보인다 하여 가세오름으로 불린다. 가세 오름에는 5개의 암설류인 봉우리인 염통 오름, 족은 염통, 달 모루, 진동산, 숨골왓이 있다. 하지만 이 봉우리들은 덤불로 가로막고 있으며 탐방로도 있지 않아 발견하기는 어렵다. 가세 오름 초행길은 안내 표지판이 있으나 탐방로가 복잡하여 헤맬 수 있으니 주의를 요한다. 또한 가시덤불로 인해 상처를 입을 위험이 있어 긴 바지를 입고 가는 것이 좋다. 북쪽 봉우리에는 이동통신사 기지국이 있고 남쪽 봉우리 정상에는 초소가 있어 이동 위치를 쉽게 파악할 수 있다. 오름의 정상에 도착하여 경방 초소에 오르면 가시리의 오름 군락들을 조망할 수 있다.",3,,,가세오름,63622,Type3,20140116182858,http://tong.visitkorea.or.kr/cms/resource/61/3477261_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/3477261_image3_1.jpg,,,,,,,,,,,,없음,,,,,없음,,,,,,,,,,,,,,,,,success,2026-07-13T03:28:48.584361+00:00,,,,0,0,0,제주시 관광정보센터 064-740-6000,,,,,,,,,,,,,,,,가능,,,,,,,,,,,,,,,,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,※ 일부 통제될 수 있으므로 방문 시 전화문의 요망,,,50,130,NA,NA01,NA010100,126.7231832338,33.3931758821,6,20250520165953,3,,63622
tourism,1885754,12,가시오름,제주특별자치도 서귀포시 대정읍 하모이삼로21번길 1,,39,A01,A0101,A01010400,제주특별자치도 서귀포시 대정읍 하모이삼로21번길 1,,39,A01,A0101,A01010400,Type3,20140116185151,,success,,http://tong.visitkorea.or.kr/cms/resource/13/3477513_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/3477513_image3_1.jpg,,50,130,NA,NA01,NA010100,126.2500169782,33.2236315617,6,20250905110259,"가시오름은 서귀포시 대정읍 동일리에 있는 오름으로 옛날부터 오름 곳곳에 가시나무(물참나무)가 많이 자라고 있어 가시오름이라는 이름이 붙여졌다. 오름의 정상에는 남서쪽으로 벌어진 말굽형 분화구가 있다. 오름의 동남쪽은 가파르고 서북쪽은 대체로 완만한 편이며 높지 않아 정상까지 오르기 쉽다. 오름 탐방로가 잘 조성되어 있고 주변 모슬포오름과 대정읍 일대를 관망하는 풍경이 좋은 곳이다. 정상부까지 농로가 나 있고, 잡목과 함께 숲이 우거지고 그사이에 예덕나무, 보리수나무 등이 식생 하며, 일부 사면에는 중턱까지 경작지가 조성되어 있다. 내비게이션에 가시오름을 치고 가면 남서쪽 방향 우사 근처 도로변에 주차 가능하고, 다른 번지수 주소 대정동 동일리를 치고 가면 반대편 주차장에 주차 가능하다.",3,,,가시오름,63507,Type3,20140116185151,http://tong.visitkorea.or.kr/cms/resource/13/3477513_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/3477513_image3_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,success,2026-07-13T03:28:48.690257+00:00,,,,0,0,0,제주관광정보센터 064-740-6000,,,,,,,,,,,,,,,,가능,,,,,,,,,,,,,,,,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,상시 개방,,,50,130,NA,NA01,NA010100,126.2500169782,33.2236315617,6,20250905110259,3,,63507
tourism,126446,12,가파도,제주특별자치도 서귀포시 대정읍 가파로,,,,,,제주특별자치도 서귀포시 대정읍 가파로,,,,,,Type1,20030909090000,,success,,https://tong.visitkorea.or.kr/cms/resource/68/3543168_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/68/3543168_image3_1.jpg,비짓제주 www.visitjeju.net 가파도 선사 https://www.wonderfulis.co.kr/boarding_guide/boarding_fee/,50,130,NA,NA02,NA020500,126.273577321075,33.1664033797004,6,20260520091024,"제주도 부속섬 중 4번째로 큰 섬 가파도는 위에서 내려다보면 바다를 헤엄쳐 가는 가오리 모양을 하고 있다. 이름은 가오리(가파리)를 닮아 가파도가 되었다는 설과 덮개 모양을 닮아 개도(蓋島)로 부르던 것이 가파도라 굳어졌다는 설 등이 있다. 포구 근처에 자전거를 대여하는 곳도 있지만 오르막길이 없어 1~2시간이면 섬 전체를 도보로 둘러볼 수 있다. 또한 가파도 하면 빼놓을 수 없는 것이 청보리이다. 매년 4월 초에서 5월 초에 가파도 청보리 축제가 열리는데, 청보리 밭 걷기, 올레길 보물찾기, 야외 공연 등 다양한 행사가 열린다. 가파도의 보리는 키가 1m를 훌쩍 넘는다. 바람이 조금만 불어도 파도 너울 같은 보리 물결이 넘실댄다. 가파도의 청보리는 돌담과 바다가 어우러져 아름다운 풍경을 자아내면서 지금은 유명한 관광자원이 되었다. 청보리 관광과 올레길이 조성되면서 하루에도 정기적으로 3~4회의 여객선이 왕복 운항하는 섬이 되었다. 드라마 우리들의 블루스 촬영지
◎ 한류의 매력을 만나는 여행 정보 - 드라마 
드라마 ‘우리들의 블루스’ 11, 12화에서 영옥과 정준이 단둘이 여행을 떠나 행복한 시간을 보내는 장소, 바로 가파도다. 시원하게 펼쳐진 푸른 바다와 해안선을 따라 이어지는 풍경은 드라마 속 인물들의 설렘을 고스란히 전해준다.",,,,가파도,63514,Type1,20030909090000,https://tong.visitkorea.or.kr/cms/resource/68/3543168_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/68/3543168_image3_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,success,2026-07-13T03:28:48.832793+00:00,,,,0,0,0,가파리 사무소 064-794-7130,,,,,,,,,,,,,,,,가능,,,,,,,,,,,,,,,,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,상시 개방 ※ 여객선 운항시간 확인 요망,,,50,130,NA,NA02,NA020500,126.273577321075,33.1664033797004,6,20260520091024,,,63514
tourism,1887368,12,각시바위오름,제주특별자치도 서귀포시 호근동,2124,39,A01,A0101,A01010400,제주특별자치도 서귀포시 호근동,2124,39,A01,A0101,A01010400,Type3,20140121002153,,success,,http://tong.visitkorea.or.kr/cms/resource/64/3477364_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/3477364_image3_1.jpg,"<a href=""https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500017"" target=""_blank"" title=""새창 : 비짓제주 홈페이지로 이동"">http://www.visitjeju.net/</a>",50,130,NA,NA01,NA010100,126.5259918298,33.2777271543,6,20250513172327,"각시바위오름은 기생화산으로 분화구의 형태는 원추형이다. 오름 정상에 있는 각시바위의 이름을 따서 각시바위오름이라고 불리게 되었다. 한자로는 각수악이라 하기도 하고 학의 날갯짓을 닮았다고 하여 학수악이라고도 한다. 오름의 북쪽 사면은 완만하며 숲이 무성하고 반면 남쪽 등성이는 매우 가파르다. 남쪽 등성이는 세 가닥의 등성마루가 뻗어 있는 듯한 모습으로 보인다. 남쪽 경사면 바로 아래 영산사 뒤쪽으로 오르는 등산길이 있으며 길에 깔린 조면암질의 돌들이 독특한 모양과 색을 띠고 있다. 각시바위라는 이름은 한 각시가 이 바위에서 떨어져 죽었다는 열녀 설화에서 따온 것이라고 한다. 정상부는 서귀포 앞바다를 전망할 수 있고, 주변의 좋은 경치로 인해 예로부터 선비들이 풍류를 즐겼던 곳이라고 한다. 주변에 가볼 만한 곳으로는 서귀포 치유의 숲, 엉또폭포, 고근산 등이 있다.",3,,,각시바위오름,63569,Type3,20140121002153,http://tong.visitkorea.or.kr/cms/resource/64/3477364_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/3477364_image3_1.jpg,,,,,,,,,,,,없음,,,,,없음,,,,,,,,,,,,,,,,,success,2026-07-13T03:28:48.938259+00:00,,,,0,0,0,064-710-6032,,,,,,,,,,,,,,,,불가능,,,,,,,,,,,,,,,,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,※ 일부 통제될 수 있으므로 방문 시 전화문의 요망,,,50,130,NA,NA01,NA010100,126.5259918298,33.2777271543,6,20250513172327,3,,63569
tourism,1887381,12,갈마못(갈뫼못),제주특별자치도 서귀포시 표선면 성읍리,,39,A01,A0101,A01010500,제주특별자치도 서귀포시 표선면 성읍리,,39,A01,A0101,A01010500,Type3,20140121004604,,success,,http://tong.visitkorea.or.kr/cms/resource/31/3477231_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/3477231_image3_1.jpg,,50,130,NA,NA02,NA020400,126.8116979172,33.3873529469,6,20250820113210,"성읍리 사거리에서 성산으로 가는 도로변 남산봉 입구에 위치해 있는 연못으로 행정구역상 성산읍 신풍리에 해당되지만, 오히려 성읍에 가까워 소유도 성읍리 마을 소유이다. 풍수지리설에 의하면 이 못은 목마른 말이 물을 마시는 것과 같고 또 마소의 급수용으로 이용한 데서 연유하여 갈마못이라는 이름이 붙여졌다고 한다. 자연적으로 조성된 이 못은 아무리 가물어도 물이 마르지 않는다고 하며 중앙의 작은 못에는 돌담이 원형으로 둘러져 있고 예전에 식수로 이용되었던 흔적인 물팡돌이 놓여 있다. 물의 유입은 남산봉 화구 쪽에서 수로를 따라 유입되는 것으로 추정되며 이와 아울러 인위적으로 조성된 우수관이 도로변 밑으로 시설되어 연못으로 유입되고 있다. 못의 일부는 농업용수로 활용하기 위해 60㎡ 정도가 도로 높이로 매립되어 있으며 그 너머로는 농경지가 경작되고 있다. 중앙에 있는 작은 못에는 환경부 지정 보호야생식물인 순채가 군락을 이루며 자생하고 있고, 못의 가장자리 및 중앙부에는 대부분 기장대풀이 우점하고 있는 식생을 보이고 있는데, 전체적으로 기장대풀군락, 송이고랭이군락, 좀어리연꽃군락, 순채군락으로 구분될 수 있다. 기장대풀이 우점하는 지역은 주로 연못의 가장자리를 중심으로 비교적 수심이 10cm 이하로 택사, 골풀, 고마리 등이 분포하고 있다.",3,,,갈마못(갈뫼못),63624,Type3,20140121004604,http://tong.visitkorea.or.kr/cms/resource/31/3477231_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/3477231_image3_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,success,2026-07-13T03:28:51.348293+00:00,,,,0,0,0,서귀포시청 공원녹지과 064-760-3192,,,,,,,,,,,,,,,,불가능,,,,,,,,,,,,,,,,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,상시 개방,,,50,130,NA,NA02,NA020400,126.8116979172,33.3873529469,6,20250820113210,3,,63624
tourism,1887493,12,감낭오름,제주특별자치도 서귀포시 안덕면 동광리,산41,39,A01,A0101,A01010400,제주특별자치도 서귀포시 안덕면 동광리,산41,39,A01,A0101,A01010400,Type3,20140121191403,,success,,http://tong.visitkorea.or.kr/cms/resource/06/3477406_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/3477406_image3_1.jpg,,50,130,NA,NA01,NA010100,126.3497088457,33.3250274801,6,20250513174151,"감낭오름은 제주특별자치도 서귀포시 안덕면 동광리 북동쪽에 있는 측화산이다. 사면은 완만하고 북동쪽으로 벌어진 말굽형 화구를 이루고 있다. 화구쪽 사면은 풀밭을 이루고 그 외 사면은 삼나무 등이 있다. 감낭오름과 원물오름은 마치 샴쌍둥이처럼 등성이가 맞붙어 있어서, 소나무가 울창한 감낭오름으로 등산한 후에 원물오름으로 이동해 하산하는 코스가 유명하다. 소와 말이 노니는 잔디 탐방로를 지나 30분가량 올라가다 보면 정상에 도달한다. 쾌청한 날이면 감낭오름 정상에서 한라산과 산방산의 풍광과 더불어 국토의 끝자락에 있는 가파도까지 조망할 수 있다. 차량으로 10분 거리에 녹차밭과 녹차 디저트로 유명한 오설록이 있고, 카멜리아힐도 근거리에 있어 둘러보기 좋다.",3,,,감낭오름,63523,Type3,20140121191403,http://tong.visitkorea.or.kr/cms/resource/06/3477406_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/3477406_image3_1.jpg,,,,,,,,,,,,없음,,,,,없음,,,,,,,,,,,,,,,,,success,2026-07-13T03:28:53.472725+00:00,,,,0,0,0,064-760-4351,,,,,,,,,,,,,,,,가능,,,,,,,,,,,,,,,,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,※ 일부 통제될 수 있으므로 방문 시 전화문의 요망,,,50,130,NA,NA01,NA010100,126.3497088457,33.3250274801,6,20250513174151,3,,63523
tourism,1887866,12,갑선이오름,제주특별자치도 서귀포시 표선면 가시리,,39,A01,A0101,A01010400,제주특별자치도 서귀포시 표선면 가시리,,39,A01,A0101,A01010400,Type3,20140122185007,,success,,http://tong.visitkorea.or.kr/cms/resource/45/3523545_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/3523545_image3_1.jpg,,50,130,NA,NA01,NA010100,126.7818122232,33.3608276172,6,20250819162426,"제주특별자치도 서귀포시 표선면 가시리에 있는 갑선이오름은 남서쪽으로 벌어진 말굽형 굼부리를 가지고 있으며, 오름 서쪽으로 가싯내가 지나가고, 서쪽에 가시리가 아늑하게 자리 잡고 있다. 북서쪽에는 설오름, 남쪽에는 가시오름이 있다. 갑선이오름의 갑선이는 제주 고유어로 보이는데, 그 뜻은 확실하지 않다. 한자 차용 표기로는 갑선악(甲先嶽), 갑선악(甲蟬嶽), 갑선악(甲旋嶽) 등으로 표기했다. 일부에서는 한자 차용 표기 갑선악(甲蟬嶽)의 ‘갑선(甲蟬)’을 중시하여, 허물을 벗지 못한 굼벵이나 매미처럼 생겼다는 데에서 이름이 유래했다고 전해진다. 갑선이오름의 주변 지역에는 주로 묘지와 과수원, 농경지가 조성되어 이용되고 있고, 마을과 오름 사이에 있는 가마천은 세화리 바닷가로 이어져 있다. 또한, 오름 기슭에는 삼나무가 조림되어 있는 한편, 오름 각사면에는 상록수와 낙엽수 등 혼효림의 울창한 숲을 이루고 있다.",3,,,갑선이오름,63623,Type3,20140122185007,http://tong.visitkorea.or.kr/cms/resource/45/3523545_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/3523545_image3_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,success,2026-07-13T03:28:53.582090+00:00,,,,0,0,0,제주관광정보센터 064-740-6000,,,,,,,,,,,,,,,,불가능,,,,,,,,,,,,,,,,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,※ 통제될 수 있으므로 방문 시 전화문의 요망,,,50,130,NA,NA01,NA010100,126.7818122232,33.3608276172,6,20250819162426,3,,63623
